frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,0.066,311.121,320.0,-0.02,0.06,0.001
1,0.129,305.749,320.0,-0.014,0.06,0.553
2,0.112,307.897,320.0,0.014,0.06,1.46
3,0.096,309.186,320.0,-0.0,0.06,2.467
4,0.085,309.96,320.0,-0.0,0.06,3.498
5,0.096,309.117,320.0,-0.033,0.059,4.316
6,0.161,303.634,320.0,-0.037,0.059,5.204
7,0.139,306.104,320.0,0.032,0.059,5.691
8,0.12,307.588,320.0,0.004,0.06,6.211
9,0.106,308.478,320.0,-0.0,0.06,6.58
10,0.091,309.78,320.0,0.013,0.06,6.942
11,0.148,304.867,320.0,-0.025,0.06,7.385
12,0.127,307.152,320.0,0.025,0.06,7.602
13,0.11,308.523,320.0,-0.0,0.06,7.9
14,0.281,288.05,320.0,-0.15,0.057,8.163
15,0.433,287.524,320.0,-0.3,0.055,8.132
16,0.421,288.129,320.0,-0.15,0.057,7.716
17,0.303,304.057,320.0,-0.0,0.06,7.73
18,0.243,306.468,320.0,0.15,0.057,8.006
19,0.176,312.438,320.0,0.027,0.06,8.43
20,-0.103,330.84,320.0,0.177,0.057,8.647
21,-0.147,332.648,320.0,0.042,0.059,8.977
22,-0.128,330.09,320.0,-0.029,0.059,9.203
23,-0.107,328.385,320.0,-0.011,0.06,9.142
24,-0.096,328.003,320.0,0.0,0.06,9.26
25,-0.06,324.398,320.0,-0.022,0.06,9.353
26,-0.071,325.538,320.0,0.0,0.06,9.461
27,-0.084,326.572,320.0,0.002,0.06,9.609
28,-0.1,327.794,320.0,0.02,0.06,9.606
29,-0.113,328.634,320.0,0.025,0.06,9.702
30,-0.179,332.726,320.0,0.083,0.059,10.118
31,-0.177,331.997,320.0,-0.005,0.06,10.607
32,-0.154,329.83,320.0,-0.04,0.059,10.847
33,-0.137,328.915,320.0,-0.013,0.06,10.788
34,-0.137,329.491,320.0,0.001,0.06,10.994
35,-0.104,327.273,320.0,-0.064,0.059,11.157
