frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.185,335.386,320.0,0.15,0.05,0.005
1,-0.19,335.568,320.0,0.105,0.05,-0.722
2,-0.165,332.81,320.0,-0.045,0.05,-1.936
3,-0.133,330.384,320.0,-0.195,0.05,-2.897
4,-0.149,331.656,320.0,-0.045,0.05,-3.684
5,-0.233,337.974,320.0,0.105,0.05,-4.511
6,-0.25,339.4,320.0,0.255,0.05,-5.235
7,-0.153,332.037,320.0,0.105,0.05,-5.935
8,0.04,316.854,320.0,-0.045,0.05,-6.457
9,0.147,308.506,320.0,-0.195,0.05,-6.777
10,0.124,310.503,320.0,-0.045,0.05,-6.864
11,-0.063,324.646,320.0,0.105,0.05,-7.237
12,-0.141,330.518,320.0,0.255,0.05,-7.792
13,0.077,314.615,320.0,0.105,0.05,-8.319
14,0.328,296.333,320.0,-0.045,0.05,-8.619
15,0.462,285.995,320.0,-0.195,0.05,-8.613
16,0.393,290.359,320.0,-0.045,0.05,-8.565
17,0.224,302.502,320.0,0.105,0.05,-8.708
18,0.224,302.502,320.0,-0.036,0.05,-9.112
19,0.224,302.502,320.0,-0.036,0.05,-9.305
20,0.437,284.735,320.0,-0.186,0.05,-9.384
21,0.31,294.235,320.0,-0.036,0.05,-9.34
22,0.132,309.455,320.0,0.114,0.05,-9.445
23,0.096,312.549,320.0,0.264,0.05,-9.849
24,0.256,300.377,320.0,0.114,0.05,-10.314
25,0.647,271.479,320.0,-0.036,0.05,-10.591
26,0.75,258.181,320.0,-0.186,0.05,-10.448
27,0.75,254.55,320.0,-0.12,0.05,-10.229
28,0.607,274.884,320.0,0.03,0.05,-10.066
29,0.444,286.237,320.0,0.18,0.05,-10.342
30,0.533,278.639,320.0,0.03,0.05,-10.755
31,0.75,249.327,320.0,-0.12,0.05,-11.214
32,0.75,245.157,320.0,-0.12,0.05,-11.239
33,0.75,253.489,320.0,-0.12,0.05,-11.168
34,0.697,265.478,320.0,0.03,0.05,-11.173
35,0.544,275.897,320.0,0.18,0.05,-11.531
36,0.628,268.828,320.0,0.03,0.05,-12.146
37,0.75,253.273,320.0,-0.12,0.05,-12.39
38,0.75,251.732,320.0,-0.12,0.05,-12.232
39,0.75,260.1,320.0,-0.12,0.05,-11.916
40,0.616,274.088,320.0,0.03,0.05,-11.728
41,0.389,292.191,320.0,0.18,0.05,-11.935
42,0.279,299.258,320.0,0.33,0.05,-12.512
43,0.593,274.495,320.0,0.18,0.05,-13.284
44,0.593,274.495,320.0,0.03,0.05,-13.952
45,0.593,274.495,320.0,-0.095,0.05,-14.086
46,0.75,189.07,320.0,-0.245,0.05,-14.035
47,0.75,204.14,320.0,-0.12,0.05,-13.578
48,0.75,235.135,320.0,-0.12,0.05,-13.189
49,0.75,253.445,320.0,-0.12,0.05,-12.9
50,0.684,269.073,320.0,0.03,0.05,-12.524
51,0.283,298.583,320.0,0.18,0.05,-12.698
52,0.335,294.501,320.0,0.03,0.05,-13.292
53,0.561,277.438,320.0,-0.12,0.05,-13.529
54,0.546,278.535,320.0,0.03,0.05,-13.208
55,0.364,292.507,320.0,0.18,0.05,-13.394
56,0.364,292.507,320.0,0.03,0.05,-13.966
57,0.364,292.507,320.0,-0.059,0.05,-14.206
58,0.364,292.507,320.0,-0.059,0.05,-14.017
59,0.364,292.507,320.0,-0.059,0.05,-13.797
60,0.364,292.507,320.0,-0.059,0.05,-13.685
61,0.364,292.507,320.0,-0.059,0.05,-13.459
62,0.364,292.507,320.0,-0.059,0.05,-13.26
63,-0.314,344.241,320.0,0.091,0.05,-13.105
64,-0.439,354.815,320.0,0.241,0.05,-13.452
65,-0.276,342.48,320.0,0.091,0.05,-14.317
66,0.072,314.15,320.0,-0.059,0.05,-14.858
67,0.212,303.388,320.0,-0.209,0.05,-14.74
68,-0.017,321.273,320.0,-0.059,0.05,-14.027
69,-0.458,353.22,320.0,0.091,0.05,-13.734
70,-0.622,365.095,320.0,0.241,0.05,-14.051
71,-0.297,342.208,320.0,0.091,0.05,-15.118
72,0.17,307.024,320.0,-0.059,0.05,-15.627
